SunX,SunY,PlanetX,PlanetY,zComp
0.017584,-0.145014,202765446.025412,-1650552003.556860,0
0.017753,-0.146397,202783878.236830,-1650549850.788607,0
0.017923,-0.147799,202802483.018247,-1650547677.653693,0
0.018096,-0.149222,202821263.006781,-1650545483.838127,0
0.018272,-0.150665,202840220.834732,-1650543269.028305,0
0.018450,-0.152128,202859359.143039,-1650541032.909434,0
0.018631,-0.153613,202878680.591698,-1650538775.164308,0
0.018814,-0.155119,202898187.867914,-1650536495.472355,0
0.019000,-0.156648,202917883.692537,-1650534193.508880,0
0.019189,-0.158198,202937770.825238,-1650531868.944450,0
0.019380,-0.159772,202957852.068726,-1650529521.444402,0
0.019575,-0.161369,202978130.272257,-1650527150.668423,0
0.019772,-0.162990,202998608.334628,-1650524756.270195,0
0.019972,-0.164635,203019289.206780,-1650522337.897080,0
0.020175,-0.166305,203040175.894131,-1650519895.189849,0
0.020382,-0.168000,203061271.458698,-1650517427.782415,0
0.020591,-0.169721,203082579.021093,-1650514935.301604,0
0.020804,-0.171468,203104101.762419,-1650512417.366915,0
0.021020,-0.173242,203125842.926108,-1650509873.590303,0
0.021239,-0.175044,203147805.819729,-1650507303.575956,0
0.021462,-0.176873,203169993.816785,-1650504706.920080,0
0.021688,-0.178731,203192410.358517,-1650502083.210673,0
0.021918,-0.180618,203215058.955718,-1650499432.027307,0
0.022152,-0.182534,203237943.190582,-1650496752.940901,0
0.022389,-0.184481,203261066.718588,-1650494045.513490,0
0.022630,-0.186459,203284433.270417,-1650491309.297990,0
0.022875,-0.188468,203308046.653929,-1650488543.837956,0
0.023123,-0.190510,203331910.756178,-1650485748.667336,0
0.023376,-0.192585,203356029.545498,-1650482923.310209,0
0.023633,-0.194693,203380407.073633,-1650480067.280533,0
0.023894,-0.196836,203405047.477942,-1650477180.081866,0
0.024159,-0.199014,203429954.983665,-1650474261.207089,0
0.024429,-0.201228,203455133.906259,-1650471310.138123,0
0.024704,-0.203478,203480588.653810,-1650468326.345627,0
0.024982,-0.205766,203506323.729514,-1650465309.288693,0
0.025266,-0.208093,203532343.734244,-1650462258.414536,0
0.025554,-0.210458,203558653.369193,-1650459173.158159,0
0.025848,-0.212864,203585257.438610,-1650456052.942023,0
0.026146,-0.215311,203612160.852615,-1650452897.175698,0
0.026449,-0.217799,203639368.630117,-1650449705.255499,0
0.026758,-0.220331,203666885.901814,-1650446476.564123,0
0.027072,-0.222906,203694717.913311,-1650443210.470259,0
0.027391,-0.225526,203722870.028321,-1650439906.328190,0
0.027717,-0.228192,203751347.731993,-1650436563.477392,0
0.028047,-0.230905,203780156.634333,-1650433181.242097,0
0.028384,-0.233666,203809302.473760,-1650429758.930867,0
0.028727,-0.236476,203838791.120767,-1650426295.836130,0
0.029076,-0.239336,203868628.581715,-1650422791.233717,0
0.029431,-0.242248,203898821.002758,-1650419244.382371,0
0.029793,-0.245213,203929374.673902,-1650415654.523249,0
0.030161,-0.248232,203960296.033206,-1650412020.879397,0
0.030536,-0.251306,203991591.671127,-1650408342.655212,0
0.030919,-0.254437,204023268.335027,-1650404619.035885,0
0.031308,-0.257626,204055332.933826,-1650400849.186818,0
0.031704,-0.260874,204087792.542833,-1650397032.253030,0
0.032108,-0.264184,204120654.408747,-1650393167.358532,0
0.032520,-0.267556,204153925.954829,-1650389253.605682,0
0.032939,-0.270992,204187614.786277,-1650385290.074520,0
0.033367,-0.274494,204221728.695785,-1650381275.822074,0
0.033803,-0.278063,204256275.669309,-1650377209.881642,0
0.034247,-0.281701,204291263.892049,-1650373091.262045,0
0.034700,-0.285410,204326701.754647,-1650368918.946859,0
0.035162,-0.289192,204362597.859624,-1650364691.893603,0
0.035633,-0.293049,204398961.028049,-1650360409.032916,0
0.036113,-0.296981,204435800.306471,-1650356069.267685,0
0.036604,-0.300993,204473124.974103,-1650351671.472149,0
0.037104,-0.305085,204510944.550290,-1650347214.490965,0
0.037614,-0.309260,204549268.802262,-1650342697.138237,0
0.038134,-0.313520,204588107.753179,-1650338118.196509,0
0.038666,-0.317867,204627471.690506,-1650333476.415719,0
0.039208,-0.322304,204667371.174698,-1650328770.512103,0
0.039762,-0.326834,204707817.048240,-1650323999.167068,0
0.040327,-0.331457,204748820.445041,-1650319161.026008,0
0.040904,-0.336179,204790392.800205,-1650314254.697082,0
0.041494,-0.341000,204832545.860191,-1650309278.749930,0
0.042096,-0.345924,204875291.693391,-1650304231.714348,0
0.042711,-0.350954,204918642.701132,-1650299112.078900,0
0.043340,-0.356092,204962611.629131,-1650293918.289480,0
0.043982,-0.361343,205007211.579426,-1650288648.747802,0
0.044639,-0.366709,205052456.022797,-1650283301.809839,0
0.045310,-0.372193,205098358.811712,-1650277875.784184,0
0.045996,-0.377799,205144934.193811,-1650272368.930353,0
0.046697,-0.383531,205192196.825972,-1650266779.457003,0
0.047415,-0.389392,205240161.788961,-1650261105.520078,0
0.048149,-0.395386,205288844.602729,-1650255345.220877,0
0.048900,-0.401518,205338261.242359,-1650249496.604030,0
0.049668,-0.407790,205388428.154708,-1650243557.655391,0
0.050454,-0.414209,205439362.275787,-1650237526.299830,0
0.051258,-0.420778,205491081.048898,-1650231400.398935,0
0.052082,-0.427501,205543602.443584,-1650225177.748595,0
0.052925,-0.434384,205596944.975429,-1650218856.076492,0
0.053789,-0.441432,205651127.726743,-1650212433.039462,0
0.054673,-0.448650,205706170.368195,-1650205906.220739,0
0.055580,-0.456043,205762093.181431,-1650199273.127073,0
0.056508,-0.463618,205818917.082742,-1650192531.185710,0
