SunX,SunY,PlanetX,PlanetY,zComp
0.000000,0.000000,198890000.000000,-1651000000.000000,0
0.002274,-0.018834,200286724.285685,-1650839602.947049,0
0.003902,-0.032294,200718923.783776,-1650789727.481111,0
0.004600,-0.038060,200875511.786478,-1650771629.061892,0
0.004930,-0.040779,200945192.903387,-1650763570.489632,0
0.005111,-0.042280,200982671.590162,-1650759234.873259,0
0.005227,-0.043234,201006155.312200,-1650756517.785622,0
0.005309,-0.043913,201022704.217375,-1650754602.859177,0
0.005373,-0.044439,201035450.754088,-1650753127.802276,0
0.005426,-0.044875,201045947.766699,-1650751912.990309,0
0.005472,-0.045255,201055037.100014,-1650750861.033450,0
0.005513,-0.045597,201063209.054798,-1650749915.206393,0
0.005552,-0.045915,201070765.982534,-1650749040.526465,0
0.005588,-0.046216,201077902.980290,-1650748214.419333,0
0.005623,-0.046505,201084750.520067,-1650747421.787557,0
0.005657,-0.046788,201091398.336258,-1650746652.247100,0
0.005691,-0.047065,201097909.510455,-1650745898.497804,0
0.005724,-0.047339,201104329.150028,-1650745155.319300,0
0.005757,-0.047611,201110689.941623,-1650744418.928466,0
0.005790,-0.047883,201117015.820876,-1650743686.554813,0
0.005823,-0.048155,201123324.463382,-1650742956.152269,0
0.005856,-0.048427,201129629.013365,-1650742226.199143,0
0.005889,-0.048700,201135938.155688,-1650741495.689884,0
0.005922,-0.048975,201142258.033311,-1650740763.913133,0
0.005956,-0.049250,201148593.591258,-1650740030.296154,0
0.005989,-0.049528,201154948.828240,-1650739294.375716,0
0.006023,-0.049807,201161326.993492,-1650738555.775317,0
0.006057,-0.050089,201167730.741504,-1650737814.187277,0
0.006092,-0.050372,201174162.254100,-1650737069.358615,0
0.006126,-0.050657,201180623.337068,-1650736321.079865,0
0.006161,-0.050945,201187115.496836,-1650735569.176201,0
0.006196,-0.051235,201193640.001440,-1650734813.500385,0
0.006232,-0.051527,201200197.929084,-1650734053.927141,0
0.006267,-0.051821,201206790.206872,-1650733290.348679,0
0.006303,-0.052118,201213417.641734,-1650732522.671111,0
0.006340,-0.052418,201220080.945139,-1650731750.811591,0
0.006376,-0.052720,201226780.752863,-1650730974.696029,0
0.006413,-0.053024,201233517.640815,-1650730194.257257,0
0.006450,-0.053331,201240292.137708,-1650729409.433562,0
0.006488,-0.053641,201247104.735210,-1650728620.167512,0
0.006526,-0.053953,201253955.896089,-1650727826.405013,0
0.006564,-0.054268,201260846.060745,-1650727028.094552,0
0.006602,-0.054586,201267775.652450,-1650726225.186589,0
0.006641,-0.054906,201274745.081564,-1650725417.633072,0
0.006680,-0.055229,201281754.748920,-1650724605.387042,0
0.006720,-0.055555,201288805.048549,-1650723788.402319,0
0.006760,-0.055884,201295896.369878,-1650722966.633246,0
0.006800,-0.056216,201303029.099503,-1650722140.034485,0
0.006841,-0.056551,201310203.622618,-1650721308.560849,0
0.006881,-0.056889,201317420.324183,-1650720472.167171,0
0.006923,-0.057230,201324679.589861,-1650719630.808189,0
0.006964,-0.057573,201331981.806793,-1650718784.438461,0
0.007007,-0.057920,201339327.364225,-1650717933.012293,0
0.007049,-0.058270,201346716.654029,-1650717076.483672,0
0.007092,-0.058624,201354150.071132,-1650716214.806222,0
0.007135,-0.058980,201361628.013874,-1650715347.933163,0
0.007179,-0.059340,201369150.884312,-1650714475.817269,0
0.007223,-0.059702,201376719.088473,-1650713598.410845,0
0.007267,-0.060069,201384333.036580,-1650712715.665699,0
0.007312,-0.060438,201391993.143238,-1650711827.533116,0
0.007357,-0.060811,201399699.827607,-1650710933.963845,0
0.007403,-0.061187,201407453.513553,-1650710034.908075,0
0.007449,-0.061567,201415254.629786,-1650709130.315422,0
0.007495,-0.061951,201423103.609983,-1650708220.134914,0
0.007542,-0.062337,201431000.892910,-1650707304.314976,0
