time,r
6.207041,1.011837
6.236686,1.021894
6.266478,1.031287
6.294855,1.040374
6.322884,1.049185
6.350672,1.057775
6.378415,1.066164
6.406206,1.074367
6.434125,1.082393
6.462239,1.090247
6.490604,1.097929
6.519267,1.105436
6.548268,1.112763
6.577644,1.119904
6.607428,1.126850
6.637653,1.133592
6.668349,1.140119
6.699548,1.146418
6.731281,1.152476
6.763583,1.158279
6.796492,1.163810
6.830048,1.169054
6.864300,1.173991
6.899304,1.178602
6.935129,1.182864
6.971862,1.186753
7.009616,1.190240
7.048543,1.193292
7.088861,1.195866
7.130900,1.197909
7.175216,1.199337
7.222902,1.199990
7.276938,1.197987
7.391456,1.196367
7.428226,1.193788
7.472483,1.190769
7.513697,1.187289
7.553490,1.183406
7.591877,1.179145
7.629133,1.174533
7.665384,1.169593
7.700742,1.164347
7.735288,1.158813
7.769089,1.153009
7.802201,1.146952
7.834671,1.140655
7.866539,1.134134
7.897844,1.127400
7.928619,1.120466
7.958897,1.113342
7.988709,1.106036
8.018088,1.098557
8.047067,1.090911
8.075680,1.083101
8.103965,1.075129
8.131965,1.066994
8.159728,1.058689
8.187312,1.050205
8.214790,1.041521
8.242257,1.032612
8.269818,1.023427
8.297653,1.013873
8.326053,1.003759
8.355582,0.992572
8.387701,0.975817
8.434952,0.966978
8.459565,0.957794
8.484977,0.949596
8.507568,0.941823
8.528945,0.934487
8.549118,0.927500
8.568363,0.920826
8.586801,0.914433
8.604546,0.908297
8.621680,0.902399
8.638273,0.896724
8.654382,0.891259
8.670053,0.885993
8.685328,0.880918
8.700245,0.876025
8.714835,0.871307
8.729126,0.866760
8.743145,0.862377
8.756916,0.858154
8.770461,0.854088
8.783799,0.850173
8.796951,0.846409
8.809935,0.842790
8.822768,0.839317
8.835467,0.835985
8.848049,0.832795
8.860530,0.829744
8.872926,0.826832
8.885253,0.824058
8.897529,0.821422
8.909770,0.818923
8.921995,0.816563
8.934223,0.814343
8.946472,0.812264
8.958764,0.810329
8.971127,0.808539
8.983589,0.806898
8.996187,0.805411
9.008965,0.804082
9.021981,0.802921
9.035310,0.801936
9.049063,0.801144
9.063412,0.800566
9.078676,0.800248
9.095622,0.800366
9.118817,0.800821
9.134866,0.801540
9.150210,0.802454
9.164451,0.803557
9.178173,0.804830
9.191471,0.806265
9.204470,0.807857
9.217240,0.809599
9.229837,0.811489
9.242305,0.813521
9.254679,0.815696
9.266989,0.818010
9.279261,0.820462
9.291518,0.823053
9.303778,0.825780
9.316060,0.828644
9.328380,0.831645
9.340757,0.834784
9.353206,0.838061
9.365745,0.841479
9.378390,0.845039
9.391157,0.848743
9.404062,0.852594
9.417123,0.856593
9.430358,0.860744
9.443784,0.865051
9.457420,0.869517
9.471289,0.874148
9.485411,0.878948
9.499812,0.883923
9.514516,0.889080
9.529553,0.894426
9.544956,0.899972
9.560761,0.905726
9.577009,0.911703
9.593749,0.917916
9.611037,0.924384
9.628943,0.931131
9.647549,0.938187
9.666963,0.945593
9.687324,0.953407
9.708829,0.961718
9.731768,0.970682
9.756631,0.980624
9.784420,0.992648
9.818418,1.006127
9.857190,1.016089
9.886392,1.025872
9.915606,1.035117
9.943775,1.044083
9.971685,1.052797
9.999437,1.061302
