SunX,SunY,PlanetX,PlanetY
20099.989516,-42782.938448,3606136852.917321,-2674366091.349244
20607.911311,-43655.607748,3661732179.869316,-2697181178.326103
21119.128587,-44530.704534,3717430804.474116,-2720072348.100271
21633.565733,-45408.157395,3773230356.626759,-2743037362.654880
22151.149423,-46287.897777,3829128537.937159,-2766074073.437369
22671.808542,-47169.859841,3885123119.289453,-2789180416.999958
23195.474109,-48053.980331,3941211938.476556,-2812354410.882615
23722.079207,-48940.198452,3997392897.909668,-2835594149.723929
24251.558906,-49828.455753,4053663962.402110,-2858897801.586160
24783.850201,-50718.696012,4110023157.026584,-2882263604.481626
25318.891943,-51610.865138,4166468565.044691,-2905689863.088349
25856.624775,-52504.911065,4222998325.907379,-2929174945.643653
26396.991071,-53400.783663,4279610633.324807,-2952717281.005107
26939.934878,-54298.434647,4336303733.403998,-2976315355.868870
27485.401855,-55197.817494,4393075922.852575,-2999967712.136106
28033.339223,-56098.887362,4449925547.246774,-3023672944.418755
28583.695705,-57001.601015,4506850999.361906,-3047429697.676440
29136.421481,-57905.916755,4563850717.563401,-3071236664.976867
29691.468137,-58811.794348,4620923184.256537,-3095092585.372490
30248.788613,-59719.194965,4678066924.392974,-3118996241.886720
30808.337163,-60628.081118,4735280504.032222,-3142946459.603340
31370.069309,-61538.416604,4792562528.956155,-3166942103.853200
31933.941794,-62450.166449,4849911643.334761,-3190982078.492629
32499.912548,-63363.296855,4907326528.441295,-3215065324.268340
33067.940644,-64277.775154,4964805901.415076,-3239190817.263947
33637.986261,-65193.569757,5022348514.070192,-3263357567.423483
34210.010650,-66110.650109,5079953151.748410,-3287564617.147628
34783.976092,-67028.986651,5137618632.214660,-3311811039.958571
35359.845872,-67948.550774,5195343804.593478,-3336095939.229738
35937.584241,-68869.314785,5253127548.344867,-3360418446.976785
36517.156388,-69791.251867,5310968772.278057,-3384777722.706524
37098.528406,-70714.336045,5368866413.601719,-3409172952.320614
37681.667267,-71638.542153,5426819437.009220,-3433603347.071068
38266.540789,-72563.845803,5484826833.797560,-3458068142.564768
38853.117615,-73490.223353,5542887621.018678,-3482566597.814394
39441.367181,-74417.651879,5601000840.661869,-3507097994.333270
40031.259693,-75346.109147,5659165558.866084,-3531661635.271838
40622.766107,-76275.573588,5717380865.160947,-3556256844.593546
41215.858097,-77206.024271,5775645871.735359,-3580882966.288106
41810.508041,-78137.440881,5833959712.732610,-3605539363.620184
42406.688994,-79069.803695,5892321543.570936,-3630225418.411695
43004.374670,-80003.093559,5950730540.288552,-3654940530.355962
43603.539419,-80937.291870,6009185898.912161,-3679684116.362154
44204.158212,-81872.380553,6067686834.848045,-3704455609.928423
44806.206616,-82808.342044,6126232582.294838,-3729254460.542344
45409.660782,-83745.159270,6184822393.677122,-3754080133.107243
46014.497424,-84682.815632,6243455539.099046,-3778932107.393177
46620.693804,-85621.294992,6302131305.817171,-3803809877.511302
47228.227714,-86560.581648,6360848997.731794,-3828712951.410517
47837.077462,-87500.660330,6419607934.896029,-3853640850.395276
48447.221856,-88441.516174,6478407453.041950,-3878593108.663544
49058.640190,-89383.134716,6537246903.123147,-3903569272.863940
49671.312229,-90325.501877,6596125650.873033,-3928568901.671127
50285.218195,-91268.603946,6655043076.378319,-3953591565.378602
50900.338757,-92212.427572,6713998573.667059,-3978636845.508043
51516.655015,-93156.959749,6772991550.310701,-4003704334.434454
52134.148488,-94102.187807,6832021427.039620,-4028793635.026350
52752.801103,-95048.099398,6891087637.371604,-4053904360.300297
53372.595186,-95994.682490,6950189627.252808,-4079036133.089146
53993.513445,-96941.925353,7009326854.710700,-4104188585.723321
54615.538966,-97889.816548,7068498789.518545,-4129361359.724571
55238.655195,-98838.344922,7127704912.870987,-4154554105.511630
55862.845938,-99787.499597,7186944717.070320,-4179766482.117232
56488.095340,-100737.269961,7246217705.223043,-4204998156.915990
57114.387886,-101687.645658,7305523390.946314,-4230248805.362639
57741.708385,-102638.616585,7364861298.083932,-4255518110.740196
58370.041963,-103590.172878,7424230960.431508,-4280805763.917601
58999.374056,-104542.304910,7483631921.470466,-4306111463.116413
59629.690401,-105495.003278,7543063734.110561,-4331434913.686182
60260.977027,-106448.258804,7602525960.440604,-4356775827.888112
60893.220249,-107402.062521,7662018171.487084,-4382133924.686664
61526.406659,-108356.405670,7721539946.980411,-4407508929.548760
62160.523119,-109311.279693,7781090875.128491,-4432900574.250261
