SunX,SunY,PlanetX,PlanetY
0.000000,0.000000,198890000.000000,-1651000000.000000
2.845589,-21.851888,246410084.360909,-1644866846.931571
12.218768,-87.278282,293725559.867639,-1637367571.961661
29.369010,-196.058373,340797261.546580,-1628509105.060051
55.538083,-347.935719,387586265.854963,-1618299494.499686
91.959050,-542.618531,434053922.144218,-1606747897.943591
139.855277,-779.779984,480161883.779086,-1593864572.661568
200.439446,-1059.058550,525872138.890813,-1579660864.891244
274.912593,-1380.058362,571147040.743321,-1564149198.358518
364.463149,-1742.349604,615949337.691761,-1547343061.972946
470.266000,-2145.468925,660242202.713412,-1529256996.714024
593.481553,-2588.919879,703989262.491403,-1509906581.724800
735.254832,-3072.173388,747154626.032283,-1489308419.629633
896.714575,-3594.668232,789702912.798978,-1467480121.093367
1078.972351,-4155.811560,831599280.341236,-1444440288.639537
1283.121702,-4754.979425,872809451.406183,-1420208499.745623
1510.237286,-5391.517341,913299740.512160,-1394805289.233717
1761.374056,-6064.740861,953037079.969597,-1368252130.975297
2037.566441,-6773.936181,991989045.333200,-1340571418.929107
2339.827556,-7518.360755,1030123880.270334,-1311786447.531458
2669.148428,-8297.243943,1067410520.831059,-1281921391.458487
3026.497240,-9109.787668,1103818619.105866,-1251001284.780172
3412.818595,-9955.167096,1139318566.257755,-1219051999.526105
3829.032804,-10832.531334,1173881514.915931,-1186100223.683177
4276.035193,-11741.004146,1207479400.918980,-1152173438.645495
4754.695428,-12679.684688,1240084964.396033,-1117299896.136946
5265.856862,-13647.648252,1271671770.175045,-1081508594.626896
5810.335913,-14643.947037,1302214227.507937,-1044829255.259563
6388.921450,-15667.610925,1331687609.102989,-1007292297.317586
7002.374210,-16717.648279,1360068069.455491,-968928813.240305
7651.426238,-17793.046750,1387332662.468266,-929770543.217192
8336.780345,-18892.774097,1413459358.354314,-889849849.376776
9059.109593,-20015.779027,1438427059.814395,-849199689.591290
9819.056804,-21160.992037,1462215617.482970,-807853590.917095
10617.234088,-22327.326273,1484805844.636483,-765845622.690784
